age,city,city_home,district,educ,encouraged,family_in_city,female,income,kms_to_home,length_residence,married,minority,more_at_home_village,num_calls_to_prior_residence,owns_home,owns_village_property,participates,plan_to_live,pol_active_village,political_efficacy,political_interest,recommend_live,reghelp,trust_city_gov,trust_nat_gov
50,Greenville,4,59,0,1,3,1,NA,16.01761965,15,1,0,3,0,1,0,0.241018141,80,1,2,1,1,0,1,1
24,Blueville,4,84,1,0,1,1,1000,97.67249954,2,1,0,3,4,1,0,0.264089488,75,0,1,1,1,0,2,2
22,Blueville,3,51,1,1,0,0,100,144.500419,5,0,0,3,6,0,0,0.391835744,10,0,1,1,0,1,2,2
22,Greenville,4,4,1,0,1,1,1500,19.73610172,3,1,0,3,5,1,0,0.41624835,100,0,1,1,1,1,1,2
21,Blueville,4,10,1,0,0,1,1000,129.4964262,30,1,0,3,5,1,0,0.443763004,100,0,1,1,1,0,2,2
30,Greenville,4,48,0,1,3,0,700,24.44007262,13,1,0,3,0,1,0,0.508512641,90,0,2,1,1,0,2,3
31,Blueville,4,64,1,0,3,1,NA,90.42785375,20,1,0,4,21,1,0,0.51130826,10,0,1,2,1,1,1,1
25,Blueville,4,10,0,0,3,1,800,194.7905344,30,1,0,4,14,0,1,0.517152709,20,0,2,1,1,0,2,3
55,Greenville,4,5,1,1,0,0,600,15.9997596,20,0,0,2,2,0,0,0.517851338,34,0,1,1,1,0,3,4
22,Blueville,4,35,1,0,3,1,900,133.1415033,3,1,0,4,21,1,0,0.541132284,80,0,3,1,1,1,1,3
20,Blueville,4,45,0,1,1,1,1500,83.91544015,20,1,0,3,7,0,0,0.5732366,60,0,2,1,0,1,2,4
24,Blueville,4,30,1,1,3,1,1500,16.60568414,5,1,0,4,14,1,0,0.577346653,40,0,3,1,1,1,1,2
23,Greenville,4,85,1,1,3,1,1000,20.55083391,8,1,0,3,4,0,0,0.59960401,100,1,2,1,1,0,2,3
20,Blueville,4,10,1,0,0,0,1000,25.02516068,33,0,0,3,5,1,0,0.665768936,100,0,1,1,0,0,2,2
41,Greenville,4,32,1,0,3,0,1000,68.83999874,15,1,0,3,7,1,0,0.674749307,2,0,1,1,0,0,2,4
35,Blueville,4,72,1,1,3,1,800,37.93796648,17,1,0,1,15,1,0,0.677595131,100,0,4,1,1,1,2,4
43,Blueville,4,72,1,1,3,0,900,30.28444626,17,1,1,4,2,1,0,0.713279166,100,0,4,2,1,0,1,4
26,Blueville,4,40,1,1,3,1,1200,40.51985195,15,1,0,4,12,1,0,0.716438766,30,0,4,1,1,0,1,3
21,Blueville,4,82,1,1,1,0,NA,168.9419137,12,1,1,4,2,1,0,0.720056561,70,0,1,1,1,1,3,1
32,Greenville,3,59,0,1,3,1,500,4.634182439,20,1,1,4,0,0,0,0.760896361,40,0,1,1,1,0,1,3
45,Greenville,4,28,0,1,3,0,900,90.68685249,8,1,0,4,3,1,0,0.815287835,10,1,1,2,1,0,1,2
25,Blueville,4,50,1,0,3,1,1200,117.9848822,8,1,0,4,14,0,0,0.903044619,60,0,3,1,1,0,1,4
21,Blueville,4,10,1,0,0,0,800,170.7588854,20,0,0,4,21,1,0,0.916210236,20,0,2,1,1,1,1,2
34,Greenville,4,13,0,0,3,1,NA,16.0611258,30,1,1,3,0,0,0,0.924729402,100,0,2,1,1,1,1,1
28,Blueville,4,45,1,1,3,1,800,49.47062144,58,1,0,1,12,1,0,0.934341093,100,0,4,1,1,0,1,4
23,Greenville,4,59,1,1,3,0,600,16.0142007,4,1,1,3,5,0,0,0.943147703,20,1,2,1,1,0,3,4
34,Blueville,3,37,1,0,3,0,800,58.27079895,6,1,0,4,10,0,0,0.946502261,3,1,1,1,0,1,1,4
49,Greenville,4,13,0,0,3,1,900,16.08502305,30,1,0,4,0,0,0,0.973008352,30,0,1,1,0,0,1,3
19,Blueville,3,34,1,1,0,1,2100,247.9764762,11,1,0,4,7,0,1,0.990654736,0,0,3,1,0,1,2,2
71,Greenville,4,28,0,1,0,1,100,90.68056396,38,0,0,3,0,1,0,1.01468373,100,0,2,1,1,0,3,4
23,Blueville,3,55,1,0,3,1,900,99.366365,11,1,0,4,4,1,1,1.026523525,100,1,1,1,1,0,3,2
25,Blueville,4,40,1,1,0,0,900,34.80684188,28,0,0,3,4,1,1,1.055352228,50,0,1,1,1,1,2,2
36,Blueville,4,66,0,1,3,1,700,76.94542253,20,1,1,4,7,0,1,1.06107299,62,0,2,1,1,1,1,3
23,Blueville,4,39,1,0,0,1,NA,172.7385942,27,0,1,4,21,1,0,1.093827419,50,0,1,2,1,0,1,1
25,Greenville,2,69,0,1,1,0,400,16.00211888,23,1,1,4,6,1,0,1.097371189,20,0,1,1,1,0,1,2
33,Blueville,4,51,0,1,3,1,1000,117.8777836,10,1,0,3,3,1,1,1.12596015,50,0,1,1,1,1,2,2
20,Blueville,4,10,1,0,0,0,2000,48.8974133,25,0,0,3,6,1,0,1.139692825,50,0,1,1,1,0,2,2
24,Greenville,4,32,1,0,3,0,1200,18.75165447,5,1,0,4,10,1,0,1.160589053,60,1,3,2,1,0,2,3
35,Blueville,4,18,0,1,3,1,1200,47.74826448,23,1,0,3,3,1,0,1.160959335,30,0,2,1,0,0,3,3
26,Blueville,4,10,1,0,0,0,1000,38.6466997,30,0,0,3,7,1,0,1.162895673,50,0,1,1,1,0,2,2
20,Greenville,4,9,1,0,0,0,600,3.951310337,18,0,1,3,0,0,0,1.177591369,50,0,2,2,1,1,2,4
20,Blueville,4,51,1,1,0,0,1000,132.6473595,28,0,0,3,10,1,0,1.181799768,4,0,1,2,0,0,3,4
20,Blueville,2,51,1,1,0,1,1000,144.5006339,22,0,0,3,3,1,0,1.185211879,12,0,1,1,0,0,2,2
25,Greenville,4,25,1,1,0,0,1000,47.79600774,17,0,0,4,1,1,1,1.192472428,45,0,3,1,1,0,3,4
19,Blueville,4,24,0,1,3,1,700,223.1128529,21,1,0,4,7,1,1,1.197825827,60,0,1,1,1,1,1,3
73,Greenville,4,25,0,1,1,1,1500,23.62065731,53,1,0,4,0,1,0,1.232480143,10,0,4,1,0,0,3,3
21,Blueville,4,39,0,0,0,1,700,182.2090168,25,0,1,3,3,1,0,1.297966894,60,0,1,1,1,1,2,2
23,Blueville,4,3,1,1,0,0,900,199.2036734,13,0,0,1,0,1,0,1.313934423,0,0,4,1,0,0,3,4
53,Blueville,4,19,0,1,3,1,1500,180.6071922,23,1,1,3,7,0,0,1.321519965,30,1,2,1,1,1,2,4
28,Blueville,4,16,1,1,0,0,700,54.68269721,68,0,0,1,1,1,0,1.324845553,100,0,1,2,1,1,3,3
60,Greenville,4,62,0,0,0,1,500,16.50456494,28,0,0,4,0,0,0,1.337560832,20,0,2,1,1,0,3,2
48,Blueville,4,84,1,0,0,0,1000,169.2384619,20,1,0,3,12,0,0,1.347791669,100,0,1,1,1,0,2,2
21,Blueville,4,39,1,0,0,1,800,184.0113467,25,0,1,3,2,1,0,1.350347836,78,0,1,1,1,1,2,2
33,Blueville,4,43,1,0,3,1,800,57.46946058,9,1,0,4,21,0,0,1.380356,40,0,2,1,0,1,3,3
22,Blueville,4,22,1,0,3,1,900,110.8966293,3,1,0,4,14,1,1,1.39674591,10,0,2,1,1,1,1,4
21,Blueville,4,39,1,0,3,1,600,182.3888033,9,1,0,4,21,1,1,1.398448026,75,0,1,2,1,0,1,3
21,Blueville,4,10,1,0,0,1,1500,56.08956789,25,0,0,3,7,1,1,1.424072722,60,0,1,1,1,0,2,2
40,Greenville,4,59,0,1,3,0,500,16.02253729,18,1,1,2,0,0,0,1.462995165,100,1,2,1,1,1,1,3
25,Blueville,4,83,0,1,3,1,1500,169.2783975,28,1,0,4,21,1,0,1.468312365,60,0,2,1,1,0,1,3
25,Blueville,4,10,1,0,0,0,1500,29.98169499,36,0,0,4,7,1,0,1.469893986,80,0,3,1,0,0,2,4
30,Greenville,4,8,1,1,3,0,1000,93.44485848,8,1,0,4,4,0,0,1.471371286,50,1,2,1,0,0,3,3
38,Greenville,2,9,0,0,3,1,1200,35.01183801,5,1,0,1,0,0,0,1.477812228,50,0,1,1,1,0,3,4
37,Blueville,4,45,0,1,3,1,1100,43.300842,15,1,0,3,1,1,0,1.47859461,9,0,2,1,1,0,2,4
28,Blueville,4,49,1,1,3,1,1000,26.32181337,17,1,0,4,14,0,1,1.504189106,100,0,4,1,1,0,2,3
24,Blueville,4,16,1,1,3,1,1000,213.0659666,8,1,0,3,4,1,0,1.507876093,40,0,1,1,1,0,2,2
22,Blueville,4,54,1,1,3,1,1000,23.56987069,38,1,0,1,3,1,0,1.528004134,50,0,1,1,1,0,2,2
45,Blueville,4,82,1,1,0,0,NA,161.3055784,7,1,1,1,21,0,1,1.540601678,60,1,1,1,1,1,1,1
52,Greenville,4,11,0,1,3,1,1500,14.65617593,18,1,1,4,3,1,0,1.546519017,90,0,2,1,1,0,2,2
28,Blueville,4,35,1,0,0,0,NA,26.56807774,19,1,0,4,5,0,0,1.546663954,60,1,1,2,1,1,4,1
41,Greenville,4,32,0,0,3,1,700,10.11198432,7,1,0,3,0,1,0,1.559776814,20,0,2,1,0,1,1,3
43,Blueville,4,60,0,0,3,0,700,258.7429452,6,1,0,1,2,1,0,1.570649805,100,0,3,1,0,0,1,3
30,Blueville,4,50,0,0,3,1,700,173.4756811,5,1,0,3,6,0,0,1.585448171,50,0,1,1,1,0,2,2
40,Greenville,4,25,1,1,3,0,1700,38.51247977,27,1,0,3,0,1,0,1.587287214,50,0,2,2,0,1,3,3
24,Greenville,4,26,0,0,3,1,1300,16.06049595,4,1,0,4,3,1,0,1.599763726,70,0,2,2,1,1,2,2
22,Blueville,3,10,1,0,3,1,1000,37.40417969,7,1,0,3,5,0,1,1.605434301,100,0,1,1,1,0,2,2
34,Greenville,4,71,0,0,3,1,800,89.99318893,18,1,0,3,4,1,0,1.605573733,90,0,2,2,1,1,2,2
19,Blueville,4,10,1,0,0,1,1000,100.3105401,28,0,0,3,21,1,0,1.609049093,20,0,2,2,1,1,2,4
27,Greenville,4,1,0,0,3,0,600,15.27705517,20,1,1,3,0,0,0,1.614711623,70,1,2,2,1,0,2,2
30,Blueville,4,61,1,1,3,0,900,192.5190899,17,1,0,1,2,1,0,1.624068238,60,0,1,1,1,0,4,4
32,Greenville,4,87,1,1,3,0,600,216.372892,18,1,1,3,6,0,1,1.626470571,6,1,1,2,1,1,2,4
24,Greenville,4,46,1,0,3,0,NA,59.10754609,24,1,0,3,4,0,0,1.627424451,100,0,2,1,1,1,2,1
18,Greenville,4,85,1,1,0,1,700,20.6927787,12,0,1,3,0,1,0,1.632053469,100,0,2,1,1,1,2,2
22,Blueville,4,42,1,0,0,1,1000,134.5400064,23,0,0,3,3,1,0,1.644029628,2,0,1,1,1,0,3,3
25,Blueville,4,24,1,1,0,0,NA,137.9592951,21,0,0,1,7,1,0,1.676492939,0,0,4,1,0,1,1,1
31,Blueville,4,64,0,0,3,1,1500,74.55771232,8,1,0,3,5,1,1,1.693525174,5,1,2,2,1,1,2,2
19,Blueville,4,10,1,0,0,0,1000,41.98896231,7,0,0,3,21,1,0,1.695586311,30,0,2,2,0,1,3,3
27,Blueville,4,45,1,1,1,1,2000,9.214093322,2,1,0,4,21,1,0,1.696385969,40,0,4,1,1,1,3,2
42,Greenville,4,32,1,0,2,1,1000,18.73039722,1,0,0,4,0,1,0,1.69982426,100,0,2,1,1,0,2,3
23,Blueville,4,30,1,1,1,1,1000,111.9463203,18,1,1,3,2,1,0,1.711243455,80,0,2,1,0,1,3,2
32,Blueville,4,24,0,1,3,1,900,132.5698732,21,1,0,4,7,1,0,1.72363468,30,0,1,1,1,1,3,3
27,Greenville,4,86,1,0,3,0,900,15.98373273,20,1,1,2,7,0,0,1.728697297,65,0,2,1,1,0,2,2
33,Blueville,2,51,1,1,3,1,1000,107.6277055,5,1,1,4,21,1,0,1.740466044,4,0,3,1,1,1,2,3
22,Greenville,4,85,1,1,0,1,700,36.69920427,22,0,0,3,0,1,0,1.764980372,90,0,2,2,0,1,2,4
19,Greenville,4,9,1,0,0,0,800,3.955082254,12,0,1,2,2,0,1,1.776628164,70,0,3,2,1,0,3,2
40,Blueville,4,55,1,0,3,0,1000,5.306400269,8,1,0,3,0,1,1,1.780556185,40,0,1,2,1,1,2,3
23,Blueville,4,37,1,0,3,1,1300,173.4512757,17,1,0,2,15,0,0,1.781987773,30,0,4,1,0,1,1,4
50,Greenville,4,13,0,0,3,0,1000,11.92595604,20,1,1,3,2,0,0,1.792613636,80,1,1,1,1,0,1,2
30,Blueville,4,19,1,1,3,1,800,131.3434847,20,1,0,3,5,1,1,1.794343504,30,0,2,1,1,0,3,3
30,Blueville,4,84,0,0,3,0,1000,129.8979297,16,1,0,3,4,0,0,1.799951426,60,0,1,1,1,1,2,2
32,Greenville,4,5,0,1,3,1,NA,16.06232585,10,1,1,3,0,0,0,1.80136758,40,0,1,1,1,0,1,1
40,Greenville,4,59,1,1,3,1,NA,16.01660849,15,1,0,3,0,0,0,1.80934867,40,0,1,1,1,0,2,1
23,Blueville,4,45,1,1,1,1,2500,5.017088068,4,1,0,3,7,1,0,1.809694909,100,0,1,1,0,0,3,4
18,Greenville,4,85,1,1,0,1,1000,20.39025081,17,0,0,3,0,1,0,1.813430087,90,0,2,1,0,0,2,3
29,Greenville,4,1,0,0,3,0,500,15.28184734,20,1,1,3,4,0,0,1.8342839,40,0,2,1,1,0,3,2
30,Greenville,4,46,1,0,3,1,500,16.39965238,5,1,0,4,6,0,1,1.836761102,100,1,1,2,1,0,2,4
30,Greenville,4,78,0,1,3,1,1200,83.13949576,4,1,0,4,10,1,0,1.846554869,60,0,2,1,1,0,3,4
28,Blueville,3,64,1,0,3,0,800,93.48623893,16,1,0,4,21,1,1,1.849045047,20,1,1,2,1,1,3,3
42,Greenville,4,4,0,0,3,0,1000,37.0068343,23,1,0,4,4,0,1,1.860085304,40,0,2,2,1,0,2,2
20,Blueville,4,83,1,1,1,1,1300,131.6894613,2,1,0,4,21,1,0,1.86028322,40,0,3,1,1,1,2,3
32,Blueville,4,34,0,1,3,0,1100,25.63594189,7,1,1,4,2,0,0,1.861039359,100,1,1,1,1,1,3,4
33,Blueville,3,16,1,1,3,0,900,116.8392229,15,1,0,3,7,0,0,1.870555563,100,1,2,1,0,0,1,4
24,Blueville,4,39,0,0,3,1,600,182.3924243,8,1,0,3,2,0,0,1.870706228,7,0,1,1,0,1,2,2
30,Greenville,4,5,0,1,3,0,NA,16.00724832,25,1,0,3,0,0,0,1.877147274,50,0,2,1,1,1,1,1
48,Blueville,4,19,0,1,3,0,1200,170.7995812,25,1,0,3,4,0,0,1.88293413,40,0,1,1,1,1,2,2
41,Greenville,4,13,0,0,3,0,1200,20.76484502,18,1,1,3,2,1,1,1.894297404,15,1,2,1,1,1,2,3
25,Blueville,4,20,1,0,0,0,1500,117.4448881,20,0,0,4,14,1,0,1.899368879,50,0,3,1,1,1,2,4
32,Greenville,4,21,1,1,3,0,1500,24.28154679,8,1,0,4,10,1,0,1.901084016,60,1,2,2,1,0,1,4
33,Blueville,3,45,0,1,3,1,1500,206.8480712,20,1,1,3,3,1,1,1.908814161,20,0,2,1,1,1,2,3
23,Blueville,4,50,1,0,1,1,1000,129.8753977,2,1,0,4,21,1,1,1.914178817,5,0,3,1,1,1,1,3
25,Blueville,4,10,1,0,0,0,900,56.10621158,5,0,0,3,7,0,0,1.919892835,60,0,1,2,1,0,2,2
31,Greenville,4,28,0,1,3,1,NA,90.62095225,20,1,0,3,7,1,0,1.922322,100,0,2,1,1,1,2,1
46,Greenville,4,79,1,0,3,1,1200,40.56011021,8,1,0,3,0,1,1,1.933640104,40,0,2,1,1,0,4,4
24,Blueville,4,23,1,1,3,1,1000,125.8315831,6,1,0,4,21,1,1,1.934146406,30,0,1,1,1,0,1,2
26,Blueville,4,50,0,0,3,0,800,173.483795,6,1,0,3,4,0,0,1.935345303,15,0,2,1,1,1,2,2
28,Blueville,4,34,0,1,2,1,NA,68.30437639,20,1,0,2,0,1,0,1.938496974,40,0,1,1,1,1,1,1
21,Blueville,4,35,1,0,1,1,3000,93.44806967,1,1,0,4,28,1,1,1.93926825,100,0,1,1,1,1,1,3
19,Blueville,4,39,1,0,0,0,2500,65.16084021,15,0,0,4,2,1,0,1.946910529,40,0,1,1,1,0,2,3
20,Blueville,4,72,1,1,3,1,1000,35.03614761,3,1,0,2,21,1,1,1.959760042,60,0,2,2,1,0,3,2
30,Greenville,4,73,1,0,1,0,1200,3.706267458,18,1,0,4,2,1,0,1.962054894,100,0,3,2,1,0,3,4
23,Blueville,4,19,1,1,3,0,1200,186.9919079,9,1,1,3,5,0,0,1.964442834,80,0,2,2,1,0,1,2
48,Blueville,2,2,0,0,0,0,NA,134.1349379,25,1,0,3,21,1,1,1.970805457,0,1,1,2,1,0,1,1
40,Greenville,4,65,0,0,3,0,600,20.29801958,20,1,0,2,0,1,0,1.972328545,100,1,2,1,1,0,2,3
26,Greenville,4,85,0,1,3,1,1000,20.55102308,8,1,0,3,5,1,0,1.980993081,100,1,2,1,1,0,2,3
52,Greenville,4,87,0,1,3,0,400,19.41090524,8,1,1,4,3,0,0,1.983248249,30,1,2,1,0,0,2,3
20,Blueville,4,10,1,0,0,1,1000,65.18225049,10,0,1,3,7,1,0,1.984174775,100,0,1,1,0,1,2,2
35,Greenville,3,59,0,1,3,0,600,4.62655444,20,1,0,3,7,0,1,2.032552382,60,1,1,2,1,0,2,3
50,Blueville,4,45,0,1,3,1,900,27.04291187,21,1,1,1,14,1,1,2.033161582,60,0,4,1,1,1,3,2
21,Blueville,4,17,0,1,1,0,1000,131.8872637,25,1,0,3,4,1,0,2.045047387,80,0,1,1,1,0,3,2
26,Blueville,4,39,1,0,3,1,1000,182.2007483,20,1,1,4,14,1,0,2.048843102,74,0,2,1,1,0,2,3
34,Greenville,4,75,1,1,3,0,1000,35.38255659,18,1,0,3,3,0,0,2.053749783,50,1,2,2,1,1,1,3
39,Greenville,4,11,1,1,3,0,1200,14.67938467,22,1,1,3,1,1,0,2.069487475,100,0,2,3,1,1,3,4
20,Blueville,4,45,1,1,3,1,1600,23.16046608,3,1,0,4,12,0,1,2.07428243,50,0,1,1,1,1,2,4
28,Blueville,4,3,1,1,3,1,1700,13.63892088,36,1,0,3,5,1,0,2.075284469,30,0,2,2,1,0,1,4
45,Blueville,4,72,0,1,3,1,NA,91.04055861,36,1,0,3,4,1,1,2.076110633,50,1,2,2,1,1,1,1
25,Blueville,4,45,1,1,3,1,500,151.8043234,5,1,1,1,14,1,0,2.087907228,40,0,4,1,1,1,3,2
22,Blueville,4,56,0,1,0,0,1000,168.9381754,12,1,1,2,2,0,0,2.091241473,75,0,2,1,1,1,2,2
25,Blueville,4,50,0,0,3,1,1000,117.9802906,9,1,0,3,5,1,0,2.116725898,60,0,1,1,1,1,3,3
20,Blueville,4,16,0,1,0,0,600,171.2186915,28,0,0,3,25,1,1,2.124408286,60,0,2,2,1,1,1,2
25,Blueville,4,7,1,0,3,1,1000,111.1386928,4,1,0,3,7,0,0,2.147113679,40,0,1,1,1,1,1,4
20,Blueville,4,23,1,1,0,0,120,113.0389997,21,0,0,1,21,1,1,2.147914545,22,0,3,1,1,1,2,3
24,Greenville,4,4,1,0,1,1,NA,60.33492119,2,1,1,4,5,1,0,2.151388564,100,0,1,1,1,1,2,1
22,Blueville,4,2,1,0,1,1,800,94.99874682,8,1,0,4,21,1,0,2.159055852,100,0,3,1,0,0,1,3
19,Blueville,4,14,1,0,0,0,1200,20.743706,7,0,0,3,7,1,1,2.161243083,10,0,3,1,0,0,3,3
27,Blueville,4,19,0,1,3,1,NA,27.01497159,13,1,0,3,7,1,1,2.164285382,20,0,1,1,0,1,2,1
29,Blueville,4,60,0,0,3,0,700,192.5015714,23,1,0,2,3,1,1,2.180040684,100,0,2,1,1,0,4,4
55,Blueville,4,36,0,0,0,0,600,46.64681888,31,0,0,1,17,1,0,2.18030614,50,0,4,1,1,0,2,2
31,Blueville,3,45,0,1,3,1,800,14.29813125,8,1,1,3,3,0,1,2.180855591,40,0,2,1,0,0,3,3
43,Greenville,4,68,1,1,0,1,600,1.912194791,23,0,1,2,1,1,0,2.181070655,40,0,1,1,1,0,3,3
25,Blueville,4,72,1,1,3,1,700,127.7800475,15,1,0,3,25,1,0,2.181743677,75,0,2,2,1,0,2,3
42,Greenville,4,6,0,1,3,1,700,15.56049171,17,1,1,1,2,1,0,2.204062439,70,1,4,2,1,0,2,2
40,Blueville,4,55,0,0,3,1,NA,79.6161163,28,1,0,4,1,1,1,2.214223118,100,0,1,1,1,0,1,1
30,Blueville,4,66,0,1,3,1,700,130.7827608,8,1,1,3,2,1,0,2.219073397,40,1,1,1,1,1,3,2
20,Blueville,4,45,1,1,0,0,2000,160.6076601,38,0,0,3,7,1,0,2.223233851,40,0,2,3,0,0,1,4
31,Greenville,4,33,1,1,3,1,1500,15.62947958,12,1,0,3,5,1,0,2.23098646,50,0,2,2,1,0,3,3
25,Greenville,4,1,0,0,3,1,900,60.6878821,22,1,1,4,0,0,0,2.241533354,40,0,2,2,1,0,2,2
28,Greenville,4,69,0,1,1,0,2000,15.9962409,2,1,1,4,6,0,1,2.244171368,60,0,1,3,1,0,2,2
27,Blueville,4,16,1,1,3,1,1000,131.6101513,10,1,0,4,7,1,1,2.248859417,40,0,3,1,0,0,2,2
29,Blueville,4,10,1,0,3,1,1000,34.96552816,6,1,0,4,21,1,0,2.251698332,80,1,2,1,1,0,3,3
27,Blueville,4,64,1,0,0,0,300,228.3036023,18,0,0,4,21,1,0,2.259295659,40,0,1,2,1,1,1,3
39,Greenville,4,73,0,0,3,1,600,19.18668531,10,1,0,2,0,1,0,2.259362809,40,1,2,1,1,1,1,2
40,Greenville,4,4,1,0,3,0,600,36.9430728,33,1,0,3,4,1,1,2.262698419,50,0,2,2,0,0,4,4
28,Blueville,4,39,1,0,3,1,500,146.3106451,30,1,0,4,14,1,0,2.266900137,70,0,2,1,1,0,4,4
42,Blueville,4,20,0,0,0,0,1200,110.8117766,15,1,0,4,21,1,1,2.268705494,55,0,2,1,1,0,1,3
28,Blueville,4,82,1,1,0,0,1200,170.0923287,2,0,1,4,35,1,1,2.277330835,15,0,2,3,1,1,2,3
41,Greenville,4,21,1,1,3,1,1200,46.87139056,20,1,0,1,1,1,0,2.293943737,50,0,2,1,1,0,2,2
22,Greenville,1,65,1,0,1,0,1500,43.66837812,18,1,0,3,0,1,0,2.299840784,3,0,4,1,0,0,3,4
23,Greenville,4,11,1,1,0,0,800,40.39240499,15,0,1,3,7,0,0,2.302348084,50,0,2,2,1,1,3,3
27,Greenville,4,86,1,0,3,0,NA,16.04186907,15,1,1,4,0,1,0,2.30439504,40,0,3,2,1,0,2,1
52,Greenville,4,26,1,0,3,0,1200,5.396617951,20,1,0,3,0,1,0,2.305871171,30,0,4,2,0,1,4,4
35,Greenville,4,85,1,1,3,1,500,43.41841847,10,1,0,3,4,1,0,2.313777194,100,1,2,1,1,1,2,3
52,Greenville,4,86,1,0,0,0,600,24.96161958,6,1,0,3,0,0,0,2.319196258,50,0,1,1,1,0,4,3
21,Blueville,4,23,1,1,1,0,900,117.9825922,15,1,0,1,2,1,0,2.329605558,60,0,4,2,1,0,2,4
22,Blueville,4,45,1,1,3,1,1000,24.03348938,5,1,0,4,7,1,0,2.335129445,50,0,2,1,0,1,1,4
24,Greenville,4,13,1,0,3,1,1500,24.45461358,4,1,0,3,4,1,0,2.341152024,70,0,2,2,1,0,1,2
18,Greenville,4,46,1,0,0,1,300,48.30650841,12,0,0,3,0,1,0,2.356835452,50,0,2,1,1,0,1,3
32,Greenville,4,21,1,1,3,0,600,65.93942372,25,1,0,1,1,1,0,2.35925877,40,1,4,1,0,0,3,2
18,Blueville,4,34,1,1,0,1,200,183.1474756,17,0,1,1,0,1,0,2.380673395,100,0,4,1,1,1,4,3
26,Blueville,3,23,1,1,3,1,800,100.6622978,21,1,0,4,21,0,0,2.383044368,20,0,3,1,1,1,2,4
40,Greenville,4,44,1,0,3,1,500,15.20410303,15,1,0,3,7,0,0,2.387928781,60,1,2,1,1,0,3,3
22,Blueville,4,10,1,0,0,1,2000,56.10233061,20,0,0,3,11,1,0,2.388846245,10,0,1,1,1,1,2,2
20,Blueville,4,45,1,1,3,1,900,3.600825007,3,1,0,1,14,1,0,2.407615038,100,0,4,1,1,0,3,4
18,Greenville,4,58,0,1,0,0,1500,16.0084647,16,0,1,3,1,1,0,2.42382672,55,0,2,1,1,0,1,2
24,Greenville,4,41,0,0,3,1,600,15.23805925,10,1,0,3,4,1,0,2.428634201,50,0,3,1,1,1,1,2
20,Blueville,4,23,1,1,0,0,NA,197.9188306,17,0,0,1,2,0,0,2.428995191,60,0,1,1,1,0,1,1
20,Blueville,4,10,1,0,0,0,2500,37.4054954,30,0,0,3,4,1,0,2.430387291,50,0,1,1,1,0,2,2
30,Greenville,4,85,1,1,1,1,1500,20.69904465,30,1,0,3,0,1,0,2.450077905,70,0,2,1,1,0,2,3
28,Blueville,4,10,0,0,3,0,1000,111.6081722,4,1,0,3,7,1,1,2.452919817,100,0,1,1,1,1,3,2
